"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2001-11-10,1.62,12.08,8.73,2.78,-1.76,89.18,43.25,2.09,1.01
2001-11-17,1.63,13.76,10.18,4.2,-0.41,73.42,29.55,2.66,0.95
2001-11-24,1.64,13.92,9.87,2.58,-2.41,81.83,23.84,1.03,1.25
2001-12-01,1.67,12.8,11.64,5.63,1.55,94.59,46.85,1.91,0.99
2001-12-08,1.66,13.37,10.56,4.52,0.17,81.73,29.67,0.65,1.12
2001-12-15,1.56,12.79,7.61,0.73,-4.15,77.33,30.78,1,1.25
2001-12-22,1.55,12.78,7.14,0.5,-4.81,75.96,30.87,1.38,1.04
2001-12-29,1.52,13.15,5.83,-0.31,-5.37,85.05,37.96,0.92,1.01
2002-01-05,1.45,12.31,2.15,-2.2,-7.81,65.55,26.04,2.13,1.37
2002-01-12,1.65,13.33,10.15,3.29,-2.31,58.69,17.51,0.89,0.98
2002-01-19,1.65,13.3,11.74,4.87,0.86,58.39,25.72,0.66,0.78
2002-01-26,1.68,12.68,12.03,5.97,1.23,77.02,36.58,0.66,1.03
2002-02-02,1.74,12.17,13.99,8.29,4.45,97.99,56.37,3.02,0.83
2002-02-09,1.86,13.67,16.81,10.09,5.79,66.94,30.78,0.73,0.75
2002-02-16,1.78,11.71,14.12,7.98,3.73,93.12,44.52,3.64,0.82
2002-02-23,1.73,8.99,12.81,7.9,4.24,94.38,57.05,4.68,0.84
2002-03-02,1.55,13.23,8.37,2.69,-1.94,89.9,37.23,1.91,1.02
2002-03-09,1.56,9.75,10.12,5.98,2.67,96.41,63.41,3.26,0.71
2002-03-16,1.92,14.71,14.99,8.85,4.73,89.71,35.57,3.14,0.73
2002-03-23,1.82,11.29,12.92,7.18,3.1,93.28,43.36,1.55,0.74
2002-03-30,1.6,12.13,9.84,5.55,1.6,85,41.05,2.74,1.81
2002-04-06,1.81,16.31,11.17,4.51,-0.82,65.28,23.81,0.44,1.05
2002-04-13,1.55,11.9,9.3,3.65,-0.09,88.98,36.58,2.19,1.09
2002-04-20,1.21,5.5,5.87,1.93,-0.84,92.15,63.07,4.38,0.79
2002-04-27,1.32,9.84,7.44,2.47,-0.73,87.15,53.13,3.8,0.73
2002-05-04,1.61,13.21,8.89,3.66,-1.16,79.07,35.86,2.27,1.17
2002-05-11,1.24,10.71,6.82,2.43,-1.11,86.19,57.82,4.36,1.12
2002-05-18,1.14,7.1,6.73,2.96,-0.12,85.12,60.37,3.06,0.72
2002-05-25,2.06,13.27,13.55,7.57,3.14,86.75,39.41,3.15,0.75
2002-06-01,1.02,4.38,6.95,3.46,0.95,89.55,67.38,3.47,0.91
2002-06-08,1.75,15.62,10.54,4.86,0.66,85.7,39.05,1.76,1
2002-06-15,1.13,8.02,6.34,2.08,-1.36,87.37,59.67,3.46,0.99
2002-06-22,2.38,18.46,13.82,7.1,1.45,81.71,30.78,1.68,1.06
2002-06-29,2.1,11.94,14.35,9.14,5.29,83.28,44.23,1.83,0.93
2002-07-06,1.34,11.01,7.16,2.3,-1.98,85.57,47.38,3.45,0.96
2002-07-13,1.08,9.29,6.93,2.63,-0.37,84.97,52.48,2.46,0.88
2002-07-20,1.68,10.15,10.42,5.33,1.34,84.24,45.97,2.97,0.96
2002-07-27,1.16,10.09,7.46,3.17,0.2,84.58,46.95,2.34,0.71
2002-08-03,1.57,14.61,8.94,3.68,-0.69,80.3,39.39,1.58,0.92
2002-08-10,1.4,10.89,8.04,3.82,-0.2,84.47,49.83,1.72,0.98
2002-08-17,0.67,5.56,3.76,1.17,-1.19,86.38,56.61,3.25,0.9
2002-08-24,1.69,15.63,9.63,3.92,-0.56,73.93,35.48,1.36,0.97
2002-08-31,1.35,10.02,7.59,2.96,-0.79,85.13,49.14,3.23,0.86
2002-09-07,1.41,9.16,8.72,3.98,0.68,85.74,50.11,2.5,0.74
2002-09-14,1.26,7.72,7.27,3.33,0.55,85.81,56.98,2.81,0.75
2002-09-21,1.42,12.45,7.34,2.04,-1.95,82.96,41.71,2.66,0.92
2002-09-28,1.51,11.09,8.48,3.68,-0.22,85.73,48.58,2.94,0.87
2002-10-05,1.25,12.93,4.19,-0.82,-4.72,73.03,38.85,4.14,0.96
2002-10-12,1.71,15.58,10.31,3.72,-0.65,74.41,17.16,0.61,0.95
2002-10-19,1.4,9.14,7.34,3.54,0.15,90.54,54.04,3.75,0.69
2002-10-26,1.46,11.04,7.97,3.57,0.03,88.2,48.69,3.38,1.23
2002-11-02,1.55,13.02,7.71,3.06,-1.32,88.17,44.47,2.77,1.21
2002-11-09,1.58,12.51,8.4,3.35,-0.93,84.92,36.79,1.87,0.85
2002-11-16,1.54,13.68,6.5,0.47,-4.42,75.9,26.82,-0.4,1.08
2002-11-23,1.49,9.03,8.04,5.21,2.19,97.7,70.98,5.52,1.25
2002-11-30,1.5,10.85,8.05,4.43,1.81,99.26,69.13,4.95,0.68
2002-12-07,1.57,12.34,9.98,6.3,3.17,97.16,66.56,4.23,0.9
2002-12-14,1.48,11.57,7.57,4.33,1.21,95.3,61.82,3.18,0.95
2002-12-21,1.55,12.92,8.35,3.42,0.02,95.76,54.35,1.34,0.72
2002-12-28,1.68,12.93,12.33,6.58,2.09,88.53,42.3,1.38,0.81
2003-01-04,1.58,12.37,9.94,6.35,3.34,102.48,65.68,3.89,0.66
2003-01-11,1.55,11.25,9.95,7.3,3.69,109.55,69.04,3.92,0.67
2003-01-18,1.59,12.69,8.75,4.12,0.43,94.26,49.65,2.28,1.05
2003-01-25,1.5,13.1,4.94,0.12,-4.05,87.96,45.15,1.53,1.04
2003-02-01,1.63,13.27,10.88,5.21,1.66,81.88,37.72,2.94,0.76
2003-02-08,1.68,12.75,11.5,5.85,0.82,87.85,45.37,3.07,1.06
2003-02-15,1.39,13.22,3.78,-0.88,-4.65,83.37,37.78,2.3,1.02
2003-02-22,1.49,14.22,6.27,1.14,-3.29,72.47,28.58,0.42,1.32
2003-03-01,1.41,13.89,4.84,-0.93,-5.57,79.52,36.33,1.09,0.97
2003-03-08,1.62,17.13,10.16,3.72,-0.61,70.33,27.52,0.81,0.83
2003-03-15,1.67,14.58,10.81,4.75,0.4,76.56,35.27,0.93,0.74
2003-03-22,1.9,13.85,14.14,7.92,3.27,79.28,31.28,0.31,0.87
2003-03-29,1.58,14.68,8.66,2.81,-2.4,66.56,29.93,0.86,1.09
2003-04-05,1.84,16.25,12.46,5.57,0.69,68.86,27.19,0.8,0.87
2003-04-12,1.83,13.23,12.55,6.31,1.9,80.99,34.52,0.78,0.96
2003-04-19,1.04,12.96,1.67,-2.35,-7.01,77.12,42.01,2.95,1.4
2003-04-26,1.24,10.94,5.5,1.21,-2.33,88.01,53.79,2.4,0.95
2003-05-03,1.32,10.39,6.91,2.96,-0.74,83.58,49.99,2.44,0.91
2003-05-10,1.86,16.88,11.49,5.49,0.68,81.35,35.43,1.79,1.14
2003-05-17,2.3,15.87,14.98,8.73,3.47,82.19,33.06,1.79,1.36
2003-05-24,1.98,10.13,13.25,8.62,4.32,82.55,45.23,2.5,1.12
2003-05-31,1.55,11.98,8.66,3.45,-0.75,83.03,43.7,2.93,1
2003-06-07,1.84,17.87,11.09,5.66,0.99,78.69,37.95,-0.14,0.98
2003-06-14,1.98,14.84,13.45,8.02,4.35,86.42,43.77,3.33,0.93
2003-06-21,2.2,12.35,14.73,8.84,4.82,83.37,41.38,2.25,0.79
2003-06-28,2.35,14.78,15.25,9.15,4.68,80.29,34.78,3.31,0.91
2003-07-05,2.06,14.99,12.88,7.3,2.86,76.14,34.66,1.46,1.03
2003-07-12,1.9,12.78,11.76,6.58,2.19,85.99,40.95,2.84,1.13
2003-07-19,1.42,13.94,7.82,3.06,-1.18,77.54,40.05,2.73,0.84
2003-07-26,1.97,17.31,12.79,7.47,3.25,74.52,35.83,-0.94,0.93
2003-08-02,2.26,15.7,13.94,7.41,2.67,85.3,37.38,2.98,0.95
2003-08-09,1.66,12.51,10.01,5.44,1.14,83.59,44.67,2.98,0.93
2003-08-16,1.91,15.38,12.6,7.35,3.23,69.18,34.26,-0.16,0.86
2003-08-23,2.42,19.13,16.76,11.11,6.5,54.53,20.47,-0.99,0.92
2003-08-30,2.11,12,13.67,7.98,3.31,78.5,30.76,2.53,0.94
2003-09-06,1.78,13.05,12.03,7.19,3.28,80.27,36.71,2.38,0.86
2003-09-13,1.48,12.03,8.71,3.96,0.19,82.45,39.68,2.7,1.14
2003-09-20,1.38,11.1,7.77,2.93,-0.74,83.67,45.55,2.42,0.65
2003-09-27,1.81,17.42,10.24,3.42,-1.92,73.96,25.56,1.6,1.17
2003-10-04,2.19,16.42,15.83,9.17,4.18,67.73,27.44,0.39,0.99
